location,target_type,weights,model,forecast_date
GB,Deaths,0.370370370370371,mech_ensemble,2021-06-07
PL,Cases,0,mech_ensemble,2021-06-07
PL,Deaths,0.349895470982802,mech_ensemble,2021-06-07
CZ,Cases,1,semi_ensemble,2021-06-07
CZ,Deaths,0.59349593495935,semi_ensemble,2021-06-07
DE,Cases,0.0357290996209683,semi_ensemble,2021-06-07
DE,Deaths,0,semi_ensemble,2021-06-07
FR,Cases,0,semi_ensemble,2021-06-07
FR,Deaths,0.980769230769231,semi_ensemble,2021-06-07
GB,Cases,0.445765505902584,semi_ensemble,2021-06-07
GB,Deaths,0.629629629629629,semi_ensemble,2021-06-07
PL,Cases,0.756746966129325,semi_ensemble,2021-06-07
PL,Deaths,0.556914544302237,semi_ensemble,2021-06-07
CZ,Cases,0,stat_ensemble,2021-06-07
CZ,Deaths,0.40650406504065,stat_ensemble,2021-06-07
DE,Cases,0.964270900379032,stat_ensemble,2021-06-07
DE,Deaths,0,stat_ensemble,2021-06-07
FR,Cases,1,stat_ensemble,2021-06-07
FR,Deaths,0,stat_ensemble,2021-06-07
GB,Cases,0.533764117401004,stat_ensemble,2021-06-07
GB,Deaths,0,stat_ensemble,2021-06-07
PL,Cases,0.243253033870675,stat_ensemble,2021-06-07
PL,Deaths,0.0931899847149613,stat_ensemble,2021-06-07
CZ,Cases,0,mech_ensemble,2021-06-14
CZ,Deaths,0.130393096836051,mech_ensemble,2021-06-14
DE,Cases,0.255758465632743,mech_ensemble,2021-06-14
DE,Deaths,0.941002949852507,mech_ensemble,2021-06-14
FR,Cases,0.373821170025435,mech_ensemble,2021-06-14
FR,Deaths,0.897727272727273,mech_ensemble,2021-06-14
GB,Cases,0,mech_ensemble,2021-06-14
GB,Deaths,0.96,mech_ensemble,2021-06-14
PL,Cases,0,mech_ensemble,2021-06-14
PL,Deaths,0.331360946745562,mech_ensemble,2021-06-14
CZ,Cases,1,semi_ensemble,2021-06-14
CZ,Deaths,0.507190795781399,semi_ensemble,2021-06-14
DE,Cases,0,semi_ensemble,2021-06-14
DE,Deaths,0,semi_ensemble,2021-06-14
FR,Cases,0,semi_ensemble,2021-06-14
FR,Deaths,0,semi_ensemble,2021-06-14
GB,Cases,0.440781776890785,semi_ensemble,2021-06-14
GB,Deaths,0.04,semi_ensemble,2021-06-14
PL,Cases,0.807409879839786,semi_ensemble,2021-06-14
PL,Deaths,0.668639053254438,semi_ensemble,2021-06-14
CZ,Cases,0,stat_ensemble,2021-06-14
CZ,Deaths,0.362416107382551,stat_ensemble,2021-06-14
DE,Cases,0.744241534367257,stat_ensemble,2021-06-14
DE,Deaths,0.0589970501474927,stat_ensemble,2021-06-14
FR,Cases,0.626178829974565,stat_ensemble,2021-06-14
FR,Deaths,0.102272727272727,stat_ensemble,2021-06-14
GB,Cases,0.559218223109215,stat_ensemble,2021-06-14
GB,Deaths,0,stat_ensemble,2021-06-14
PL,Cases,0.192590120160214,stat_ensemble,2021-06-14
PL,Deaths,0,stat_ensemble,2021-06-14
CZ,Cases,0,mech_ensemble,2021-06-21
CZ,Deaths,0.734693877551021,mech_ensemble,2021-06-21
DE,Cases,0.0945210802409172,mech_ensemble,2021-06-21
DE,Deaths,0.888140161725067,mech_ensemble,2021-06-21
FR,Cases,1,mech_ensemble,2021-06-21
FR,Deaths,0.718543046357616,mech_ensemble,2021-06-21
GB,Cases,0,mech_ensemble,2021-06-21
GB,Deaths,1,mech_ensemble,2021-06-21
PL,Cases,0.120842353867349,mech_ensemble,2021-06-21
PL,Deaths,0.530769230769231,mech_ensemble,2021-06-21
CZ,Cases,1,semi_ensemble,2021-06-21
CZ,Deaths,0,semi_ensemble,2021-06-21
DE,Cases,0,semi_ensemble,2021-06-21
DE,Deaths,0,semi_ensemble,2021-06-21
FR,Cases,0,semi_ensemble,2021-06-21
FR,Deaths,0,semi_ensemble,2021-06-21
GB,Cases,0.389543767736302,semi_ensemble,2021-06-21
GB,Deaths,0,semi_ensemble,2021-06-21
PL,Cases,0.879157646132651,semi_ensemble,2021-06-21
PL,Deaths,0.469230769230769,semi_ensemble,2021-06-21
CZ,Cases,0,stat_ensemble,2021-06-21
CZ,Deaths,0.26530612244898,stat_ensemble,2021-06-21
DE,Cases,0.905478919759083,stat_ensemble,2021-06-21
DE,Deaths,0.111859838274933,stat_ensemble,2021-06-21
FR,Cases,0,stat_ensemble,2021-06-21
FR,Deaths,0.281456953642384,stat_ensemble,2021-06-21
GB,Cases,0.610456232263698,stat_ensemble,2021-06-21
GB,Deaths,0,stat_ensemble,2021-06-21
PL,Cases,0,stat_ensemble,2021-06-21
PL,Deaths,0,stat_ensemble,2021-06-21
CZ,Cases,0.526984126984127,mech_ensemble,2021-06-28
CZ,Deaths,0.764705882352941,mech_ensemble,2021-06-28
DE,Cases,0,mech_ensemble,2021-06-28
DE,Deaths,0.7872,mech_ensemble,2021-06-28
FR,Cases,0,mech_ensemble,2021-06-28
FR,Deaths,0.491071428571429,mech_ensemble,2021-06-28
GB,Cases,0,mech_ensemble,2021-06-28
GB,Deaths,0.943478260869565,mech_ensemble,2021-06-28
PL,Cases,0.500678426051561,mech_ensemble,2021-06-28
PL,Deaths,0.8,mech_ensemble,2021-06-28
CZ,Cases,0.473015873015873,semi_ensemble,2021-06-28
CZ,Deaths,0,semi_ensemble,2021-06-28
DE,Cases,1,semi_ensemble,2021-06-28
DE,Deaths,0,semi_ensemble,2021-06-28
FR,Cases,1,semi_ensemble,2021-06-28
FR,Deaths,0.508928571428571,semi_ensemble,2021-06-28
GB,Cases,1,semi_ensemble,2021-06-28
GB,Deaths,0,semi_ensemble,2021-06-28
PL,Cases,0.49932157394844,semi_ensemble,2021-06-28
PL,Deaths,0.2,semi_ensemble,2021-06-28
CZ,Cases,0,stat_ensemble,2021-06-28
CZ,Deaths,0.235294117647059,stat_ensemble,2021-06-28
DE,Cases,0,stat_ensemble,2021-06-28
DE,Deaths,0.2128,stat_ensemble,2021-06-28
FR,Cases,0,stat_ensemble,2021-06-28
FR,Deaths,0,stat_ensemble,2021-06-28
GB,Cases,0,stat_ensemble,2021-06-28
GB,Deaths,0.0565217391304348,stat_ensemble,2021-06-28
PL,Cases,0,stat_ensemble,2021-06-28
PL,Deaths,0,stat_ensemble,2021-06-28
CZ,Cases,0.774193548387097,mech_ensemble,2021-07-05
CZ,Deaths,0.8,mech_ensemble,2021-07-05
DE,Cases,0,mech_ensemble,2021-07-05
DE,Deaths,0.763688760806916,mech_ensemble,2021-07-05
FR,Cases,0,mech_ensemble,2021-07-05
FR,Deaths,0.385826771653543,mech_ensemble,2021-07-05
GB,Cases,0.0798050375580336,mech_ensemble,2021-07-05
GB,Deaths,0.652694610778443,mech_ensemble,2021-07-05
PL,Cases,0.567365269461078,mech_ensemble,2021-07-05
PL,Deaths,0.983870967741936,mech_ensemble,2021-07-05
CZ,Cases,0.225806451612903,semi_ensemble,2021-07-05
CZ,Deaths,0,semi_ensemble,2021-07-05
DE,Cases,1,semi_ensemble,2021-07-05
DE,Deaths,0,semi_ensemble,2021-07-05
FR,Cases,1,semi_ensemble,2021-07-05
FR,Deaths,0.614173228346457,semi_ensemble,2021-07-05
GB,Cases,0.920194962441966,semi_ensemble,2021-07-05
GB,Deaths,0,semi_ensemble,2021-07-05
PL,Cases,0.432634730538922,semi_ensemble,2021-07-05
PL,Deaths,0.0161290322580645,semi_ensemble,2021-07-05
CZ,Cases,0,stat_ensemble,2021-07-05
CZ,Deaths,0.2,stat_ensemble,2021-07-05
DE,Cases,0,stat_ensemble,2021-07-05
DE,Deaths,0.236311239193084,stat_ensemble,2021-07-05
FR,Cases,0,stat_ensemble,2021-07-05
FR,Deaths,0,stat_ensemble,2021-07-05
GB,Cases,0,stat_ensemble,2021-07-05
GB,Deaths,0.347305389221557,stat_ensemble,2021-07-05
PL,Cases,0,stat_ensemble,2021-07-05
PL,Deaths,0,stat_ensemble,2021-07-05
CZ,Cases,0.802046438410075,mech_ensemble,2021-07-12
CZ,Deaths,0.138110072689512,mech_ensemble,2021-07-12
DE,Cases,0.438597752264652,mech_ensemble,2021-07-12
DE,Deaths,0.791505791505792,mech_ensemble,2021-07-12
FR,Cases,0.332922962108886,mech_ensemble,2021-07-12
FR,Deaths,0.282258064516129,mech_ensemble,2021-07-12
GB,Cases,0.0278661546900709,mech_ensemble,2021-07-12
GB,Deaths,0.754716981132076,mech_ensemble,2021-07-12
PL,Cases,0.455375966268447,mech_ensemble,2021-07-12
PL,Deaths,0.726027397260274,mech_ensemble,2021-07-12
CZ,Cases,0,semi_ensemble,2021-07-12
CZ,Deaths,0.828660436137071,semi_ensemble,2021-07-12
DE,Cases,0.415372777310432,semi_ensemble,2021-07-12
