model,target_type,location,forecast_date,weights
MIMUW-StochSEIR,Deaths,PL,2021-04-19,0.0542858610336822
MIT_CovidAnalytics-DELPHI,Deaths,PL,2021-04-19,0.0542858610336822
RobertWalraven-ESG,Deaths,PL,2021-04-19,0.314402673167093
UMass-MechBayes,Deaths,PL,2021-04-19,0.0542858610336822
UMass-SemiMech,Deaths,PL,2021-04-19,0.0542858610336822
USC-SIkJalpha,Deaths,PL,2021-04-19,0.0542858610336822
bisop-seirfilter,Cases,CZ,2021-04-26,0.0702903397579883
epiforecasts-EpiNow2,Cases,CZ,2021-04-26,0.21618276707002
IEM_Health-CovidProject,Cases,CZ,2021-04-26,0.0702903397579883
ILM-EKF,Cases,CZ,2021-04-26,0.21618276707002
LANL-GrowthRate,Cases,CZ,2021-04-26,0.21618276707002
MUNI_DMS-SEIAR,Cases,CZ,2021-04-26,0.0702903397579883
UMass-SemiMech,Cases,CZ,2021-04-26,0.0702903397579883
USC-SIkJalpha,Cases,CZ,2021-04-26,0.0702903397579883
bisop-seirfilter,Deaths,CZ,2021-04-26,0.0576890230696435
epiforecasts-EpiNow2,Deaths,CZ,2021-04-26,0.148708068210954
IEM_Health-CovidProject,Deaths,CZ,2021-04-26,0.0576890230696435
ILM-EKF,Deaths,CZ,2021-04-26,0.148708068210954
LANL-GrowthRate,Deaths,CZ,2021-04-26,0.148708068210954
MUNI_DMS-SEIAR,Deaths,CZ,2021-04-26,0.0576890230696435
RobertWalraven-ESG,Deaths,CZ,2021-04-26,0.207741656949277
UMass-MechBayes,Deaths,CZ,2021-04-26,0.0576890230696435
UMass-SemiMech,Deaths,CZ,2021-04-26,0.0576890230696435
USC-SIkJalpha,Deaths,CZ,2021-04-26,0.0576890230696435
DSMPG-bayes,Cases,DE,2021-04-26,0.0355253920910597
epiforecasts-EpiNow2,Cases,DE,2021-04-26,0.0899254977848583
FIAS_FZJ-Epi1Ger,Cases,DE,2021-04-26,0.0355253920910597
HZI-AgeExtendedSEIR,Cases,DE,2021-04-26,0.0355253920910597
IEM_Health-CovidProject,Cases,DE,2021-04-26,0.0355253920910597
ILM-EKF,Cases,DE,2021-04-26,0.0899254977848583
itwm-dSEIR,Cases,DE,2021-04-26,0.0355253920910597
ITWW-county_repro,Cases,DE,2021-04-26,0.0899254977848583
Karlen-pypm,Cases,DE,2021-04-26,0.0355253920910597
LANL-GrowthRate,Cases,DE,2021-04-26,0.0899254977848583
MIT_CovidAnalytics-DELPHI,Cases,DE,2021-04-26,0.0355253920910597
UMass-SemiMech,Cases,DE,2021-04-26,0.0355253920910597
UNIPV-BayesINGARCHX,Cases,DE,2021-04-26,0.320569480041029
USC-SIkJalpha,Cases,DE,2021-04-26,0.0355253920910597
epiforecasts-EpiNow2,Deaths,DE,2021-04-26,0.0797214689348544
FIAS_FZJ-Epi1Ger,Deaths,DE,2021-04-26,0.0496041709267206
